"customer_id","first_name","last_name","birth_date","marital_status","gender","email_address","annual_income","education_level","occupation","home_owner"
AA-10315102,Bryant,Vazquez,1980-01-21,M,M,bryant6@hotmail.com,20000,Bachelors,Clerical,Y
AA-10315120,Jon,Rubio,1998-12-01,S,M,jon6@hotmail.com,20000,Bachelors,Clerical,N
AA-10315139,Jésus,Hernandez,1973-01-27,M,M,jésus20@hotmail.com,30000,Bachelors,Clerical,Y
AA-103151402,Marcus,Taylor,1999-01-24,S,M,marcus31@hotmail.com,40000,Partial College,Skilled Manual,N
AA-103151404,Jesse,Dominguez,1968-09-11,S,M,jesse34@hotmail.com,40000,High School,Skilled Manual,Y
AA-103151406,Ashley,Perry,1965-09-15,M,F,ashley26@hotmail.com,90000,High School,Professional,Y
AA-1031545,Chase,King,1995-03-24,M,M,chase9@hotmail.com,40000,Partial College,Clerical,Y
AA-1031548,Leslie,Diaz,1977-01-08,S,F,leslie8@hotmail.com,90000,Bachelors,Management,Y
AA-1031558,Ronnie,Simmons,1972-10-21,M,M,ronnie10@hotmail.com,20000,Bachelors,Clerical,Y
AA-103157,Jessica,Clark,1970-04-01,S,F,jessica56@hotmail.com,30000,Partial College,Skilled Manual,Y
AA-1031582,Lee,Ramos,1966-04-04,M,M,lee7@hotmail.com,70000,Graduate Degree,Management,Y
AA-103751,Wyatt,Wang,1992-10-17,M,M,wyatt32@hotmail.com,30000,Partial College,Skilled Manual,Y
AA-10375101,Trisha,Xie,1989-10-17,S,F,trisha8@hotmail.com,30000,Bachelors,Clerical,Y
AA-103751402,Denise,Zhang,1987-03-24,S,F,denise19@hotmail.com,10000,High School,Manual,Y
AA-103751404,Wyatt,Bennett,1995-07-18,M,M,wyatt63@hotmail.com,60000,Partial College,Skilled Manual,Y
AA-103751406,Logan,Romero,1992-05-09,S,M,logan43@hotmail.com,50000,Bachelors,Management,Y
AA-103751408,Daniel,Cooper,1984-06-10,S,M,daniel24@hotmail.com,50000,Graduate Degree,Skilled Manual,Y
AA-1037545,Julie,Yang,1996-01-02,M,F,julie21@hotmail.com,30000,Bachelors,Clerical,Y
AA-103755,Erin,Lopez,1991-04-11,S,F,erin7@hotmail.com,70000,Graduate Degree,Management,Y
AA-1037554,Jordan,Romero,1968-03-11,S,M,jordan7@hotmail.com,80000,Bachelors,Professional,Y
AA-1037558,Sara,Anderson,1996-03-12,M,F,sara36@hotmail.com,60000,Partial College,Skilled Manual,Y
AA-1037564,Arianna,Campbell,1973-11-01,S,F,arianna16@hotmail.com,60000,Graduate Degree,Professional,N
AA-103757,Haley,Lewis,1976-02-26,M,F,haley21@hotmail.com,40000,High School,Skilled Manual,Y
AA-1037582,Ian,Hall,1996-05-21,M,M,ian24@hotmail.com,110000,Bachelors,Management,Y
AA-1037592,Francis,Chander,1966-06-06,M,M,francis21@hotmail.com,30000,Partial College,Clerical,N
AA-10480101,Ruben,Moreno,1979-03-27,M,M,ruben19@hotmail.com,20000,Partial College,Manual,Y
AA-10480102,Ross,Jai,1986-01-14,S,M,ross12@hotmail.com,10000,Partial High School,Manual,N
AA-10480130,Michele,Fernandez,1971-07-08,M,F,michele23@hotmail.com,90000,Partial College,Professional,Y
AA-10480139,Carla,Yuan,1999-07-26,S,F,carla3@hotmail.com,20000,Bachelors,Clerical,N
AA-104801402,Ronald,Mcdonald,1983-02-21,S,M,ronald15@hotmail.com,40000,Bachelors,Management,Y
AA-104801406,Hector,He,1969-12-01,M,M,hector20@hotmail.com,10000,Partial College,Manual,Y
AA-104801408,Jacquelyn,Shan,1993-09-21,S,F,jacquelyn8@hotmail.com,20000,High School,Manual,Y
AA-1048031,Christina,Thompson,1995-07-05,M,F,christina22@hotmail.com,10000,Partial College,Manual,Y
AA-1048045,Bruce,Perez,1987-06-12,M,M,bruce24@hotmail.com,80000,Graduate Degree,Management,Y
AA-1048048,Katelyn,Jackson,1974-10-19,S,F,katelyn43@hotmail.com,130000,Bachelors,Management,N
AA-1048059,Robert,Nara,1964-05-27,M,M,robert68@hotmail.com,80000,Bachelors,Management,Y
AA-104807,Veronica,Kapoor,1998-04-05,S,F,veronica9@hotmail.com,60000,Partial College,Skilled Manual,Y
AA-1048082,Kelvin,Anand,1973-12-11,S,M,kelvin23@hotmail.com,20000,Partial High School,Manual,Y
AA-1048096,Caitlin,Clark,1998-07-23,M,F,caitlin21@hotmail.com,70000,Partial College,Professional,Y
AA-1064511,Gilbert,Rubio,1977-07-15,S,M,gilbert14@hotmail.com,10000,Partial College,Manual,N
AA-10645139,Erick,Wang,1962-04-20,S,M,erick14@hotmail.com,20000,Partial High School,Manual,N
AA-106451402,Alexandra,Jenkins,1981-11-13,M,F,alexandra76@hotmail.com,30000,High School,Skilled Manual,Y
AA-106451404,Willie,Goel,1963-05-22,M,M,willie19@hotmail.com,70000,High School,Skilled Manual,Y
AA-106451406,Mason,Foster,1994-05-05,S,M,mason39@hotmail.com,70000,Partial College,Professional,N
AA-106451408,Holly,Hall,1981-07-19,S,F,holly8@hotmail.com,30000,Partial College,Clerical,N
AA-1064518,Jose,Bailey,1974-10-28,M,M,jose26@hotmail.com,80000,Bachelors,Skilled Manual,Y
AA-1064531,Jonathan,Henderson,1977-05-06,M,M,jonathan39@hotmail.com,60000,Bachelors,Skilled Manual,Y
AA-1064536,Gina,Ward,1991-03-22,S,F,gina15@hotmail.com,30000,Partial College,Clerical,Y
AA-1064545,Joan,Hernandez,1998-12-04,M,F,joan6@hotmail.com,80000,Graduate Degree,Management,Y
AA-106455,Xavier,Stewart,1992-04-02,M,M,xavier26@hotmail.com,120000,Graduate Degree,Management,Y
AA-1064556,Brianna,Wilson,1980-06-19,S,F,brianna31@hotmail.com,160000,Graduate Degree,Management,Y
AA-1064558,Shelby,Zhao,1985-07-21,S,F,shelby4@hotmail.com,20000,Partial College,Manual,N
AA-1064559,Riley,Shen,1978-01-19,S,F,riley1@hotmail.com,80000,Partial College,Professional,Y
AA-1064564,Abigail,Jiménez,1983-04-06,M,F,abigail46@hotmail.com,20000,Bachelors,Clerical,Y
AA-106457,Meagan,Carlson,1964-11-12,S,F,meagan11@hotmail.com,70000,Bachelors,Professional,N
AA-1064578,Marcus,Gray,1973-03-11,S,M,marcus37@hotmail.com,100000,High School,Professional,Y
AA-106458,Megan,Griffin,1999-02-16,S,F,megan57@hotmail.com,70000,Bachelors,Management,Y
AA-1064582,Raul,Fernandez,1977-10-22,S,M,raul6@hotmail.com,10000,Partial College,Manual,N
AA-1064593,Jimmy,Lewis,1978-12-17,S,M,jimmy10@hotmail.com,130000,Bachelors,Management,Y
AA-1064598,Faith,Jenkins,1969-04-22,S,F,faith21@hotmail.com,80000,Graduate Degree,Skilled Manual,Y
AA-315108,Madison,Bryant,1962-07-19,M,F,madison39@hotmail.com,80000,Graduate Degree,Professional,Y
AA-31513,Gloria,Perez,1984-12-11,M,F,gloria4@hotmail.com,60000,Bachelors,Professional,Y
AA-315134,Clarence,Murphy,1985-05-11,S,M,clarence16@hotmail.com,110000,Partial College,Management,N
AA-315137,Destiny,Taylor,2000-01-24,S,F,destiny8@hotmail.com,30000,High School,Professional,Y
AA-31552,Wyatt,Sharma,1974-02-04,M,M,wyatt16@hotmail.com,80000,Partial College,Professional,Y
AA-375103,Darryl,Zhang,1997-08-17,M,M,darryl8@hotmail.com,100000,Partial High School,Professional,Y
AA-375110,Eddie,Serrano,1978-08-25,S,M,eddie2@hotmail.com,60000,Partial College,Professional,Y
AA-375134,Aaron,Baker,1981-06-18,M,M,aaron12@hotmail.com,40000,High School,Professional,N
AA-375146,Vanessa,Anderson,1968-08-04,S,F,vanessa16@hotmail.com,60000,Graduate Degree,Professional,Y
AA-37515,Cody,Stewart,1969-06-19,M,M,cody11@hotmail.com,40000,Partial College,Clerical,Y
AA-37523,Olivia,Walker,1999-11-20,S,F,olivia38@hotmail.com,40000,Partial College,Skilled Manual,Y
AA-37569,April,Martin,1990-02-16,M,F,april5@hotmail.com,80000,Graduate Degree,Management,Y
AA-37595,Emma,Foster,1999-07-05,M,F,emma54@hotmail.com,110000,Bachelors,Management,Y
AA-480137,Autumn,Carter,1974-08-03,S,F,autumn8@hotmail.com,70000,Bachelors,Professional,Y
AA-48023,Ryan,Gonzalez,1981-06-16,M,M,ryan49@hotmail.com,50000,Graduate Degree,Management,Y
AA-4803,Chad,Anand,1987-03-16,S,M,chad9@hotmail.com,70000,Partial College,Skilled Manual,Y
AA-4804,Caroline,Rivera,1999-10-17,M,F,caroline21@hotmail.com,30000,High School,Skilled Manual,Y
AA-48075,Christian,Brown,1975-04-24,M,M,christian51@hotmail.com,80000,Bachelors,Management,Y
AA-645117,Erica,Young,1998-01-13,S,F,erica18@hotmail.com,70000,Bachelors,Professional,N
AA-645137,Jordyn,Bradley,1993-05-17,S,F,jordyn12@hotmail.com,80000,Bachelors,Management,N
AA-6453,Lucas,Johnson,1995-02-20,S,M,lucas7@hotmail.com,80000,Partial High School,Skilled Manual,N
AA-64561,Mackenzie,Sanchez,1965-08-26,S,F,mackenzie42@hotmail.com,70000,Bachelors,Professional,Y
AA-64570,Ebony,Gao,1982-07-04,M,F,ebony7@hotmail.com,20000,High School,Skilled Manual,Y
AA-64574,Jermaine,Foster,1961-04-18,S,M,jermaine12@hotmail.com,30000,Partial High School,Skilled Manual,N
AA-64586,Peter,Jenkins,1969-03-04,M,M,peter19@hotmail.com,20000,Graduate Degree,Clerical,Y
AA-64595,Kate,Hernandez,1989-09-20,S,F,kate16@hotmail.com,40000,High School,Professional,Y
AB-10015130,Deb,Ma,1985-11-10,M,M,deb7@hotmail.com,40000,Bachelors,Management,Y
AB-10015139,Jose,Diaz,1966-04-26,M,M,jose67@hotmail.com,20000,High School,Manual,Y
AB-100151402,Arianna,Long,1992-12-28,S,F,arianna11@hotmail.com,50000,Bachelors,Management,N
AB-100151404,Jeremiah,She,1974-02-04,S,M,jeremiah46@hotmail.com,60000,Partial College,Professional,N
AB-10015144,Carson,Hernandez,1993-05-28,S,M,carson5@hotmail.com,40000,Partial College,Clerical,Y
AB-1001518,Cedric,Serrano,1982-06-15,M,M,cedric4@hotmail.com,100000,High School,Management,Y
AB-1001527,Michele,Jai,1972-05-03,S,F,michele40@hotmail.com,10000,High School,Manual,Y
AB-1001539,Michele,Kumar,1992-07-16,S,F,michele5@hotmail.com,160000,Partial College,Professional,N
AB-1001545,Destiny,Bradley,1988-10-20,S,F,destiny46@hotmail.com,110000,Graduate Degree,Management,Y
